CMDLINE C:\Users\TutuWork\AppData\Local\Programs\Python\Python313\python.exe main.py
MEM 25.437500 1745540128.2065
MEM 25.437500 1745540128.3067
MEM 25.437500 1745540128.4074
MEM 25.437500 1745540128.5083
MEM 25.437500 1745540128.6086
MEM 25.437500 1745540128.7095
MEM 25.437500 1745540128.8098
MEM 25.437500 1745540128.9108
MEM 25.437500 1745540129.0118
MEM 25.437500 1745540129.1127
MEM 25.437500 1745540129.2137
MEM 25.437500 1745540129.3148
MEM 25.437500 1745540129.4157
MEM 25.437500 1745540129.5168
MEM 25.437500 1745540129.6177
MEM 25.437500 1745540129.7184
MEM 25.437500 1745540129.8187
MEM 25.437500 1745540129.9198
MEM 25.437500 1745540130.0200
MEM 25.437500 1745540130.1206
MEM 25.437500 1745540130.2217
MEM 25.437500 1745540130.3227
MEM 25.437500 1745540130.4230
MEM 25.437500 1745540130.5237
MEM 25.437500 1745540130.6238
MEM 25.437500 1745540130.7248
MEM 25.437500 1745540130.8258
MEM 25.437500 1745540130.9265
MEM 25.437500 1745540131.0267
MEM 25.437500 1745540131.1278
MEM 25.437500 1745540131.2287
MEM 25.437500 1745540131.3293
MEM 25.437500 1745540131.4296
MEM 25.437500 1745540131.5298
MEM 25.437500 1745540131.6307
MEM 25.437500 1745540131.7308
MEM 25.437500 1745540131.8314
MEM 25.437500 1745540131.9318
MEM 25.437500 1745540132.0326
MEM 25.437500 1745540132.1328
MEM 25.437500 1745540132.2331
MEM 25.437500 1745540132.3334
MEM 25.437500 1745540132.4339
MEM 25.437500 1745540132.5344
MEM 25.437500 1745540132.6347
MEM 25.437500 1745540132.7349
MEM 25.437500 1745540132.8358
MEM 25.437500 1745540132.9367
MEM 25.437500 1745540133.0376
MEM 25.437500 1745540133.1381
MEM 25.437500 1745540133.2390
MEM 25.437500 1745540133.3394
MEM 25.437500 1745540133.4400
MEM 25.437500 1745540133.5406
MEM 25.437500 1745540133.6417
MEM 25.437500 1745540133.7422
MEM 25.437500 1745540133.8424
MEM 25.437500 1745540133.9432
MEM 25.437500 1745540134.0437
MEM 25.437500 1745540134.1445
MEM 25.437500 1745540134.2458
MEM 25.437500 1745540134.3468
MEM 25.437500 1745540134.4475
MEM 25.437500 1745540134.5484
MEM 25.437500 1745540134.6491
MEM 25.437500 1745540134.7494
MEM 25.437500 1745540134.8502
MEM 25.437500 1745540134.9506
MEM 25.437500 1745540135.0516
MEM 25.437500 1745540135.1526
MEM 25.437500 1745540135.2536
MEM 25.437500 1745540135.3546
MEM 25.437500 1745540135.4558
MEM 25.437500 1745540135.5566
MEM 25.437500 1745540135.6576
MEM 25.437500 1745540135.7586
MEM 25.437500 1745540135.8596
MEM 25.437500 1745540135.9605
MEM 25.437500 1745540136.0615
MEM 25.437500 1745540136.1623
MEM 25.437500 1745540136.2631
MEM 25.437500 1745540136.3641
MEM 25.437500 1745540136.4647
MEM 25.437500 1745540136.5658
MEM 25.437500 1745540136.6665
MEM 25.437500 1745540136.7676
MEM 25.437500 1745540136.8680
MEM 25.437500 1745540136.9684
MEM 25.437500 1745540137.0687
MEM 25.468750 1745540137.1698
MEM 25.468750 1745540137.2708
MEM 25.468750 1745540137.3718
MEM 25.468750 1745540137.4728
MEM 25.468750 1745540137.5737
MEM 25.468750 1745540137.6745
MEM 25.468750 1745540137.7755
MEM 25.468750 1745540137.8757
MEM 25.468750 1745540137.9763
MEM 25.468750 1745540138.0768
MEM 25.468750 1745540138.1769
MEM 25.468750 1745540138.2778
MEM 25.468750 1745540138.3787
MEM 25.468750 1745540138.4796
MEM 25.468750 1745540138.5805
MEM 25.468750 1745540138.6808
MEM 25.468750 1745540138.7810
